product_id,fullname,brand,url_part,panel_type,spd_classification,spd_confidence,ground_truth_tech,ground_truth_qd_type,match_status,blue_peak_nm,blue_fwhm_nm,green_peak_nm,green_fwhm_nm,red_peak_nm,red_fwhm_nm,num_peaks,notes,spd_image_local
113604,LG C5 42 OLED,LG,lg-c5-42-oled,OLED,WOLED,high,,,NO_GT,452.5,22.1,555.2,105.0,,,2,B:452nm/22nm; G:555nm/105nm; No red; panel_sub_type=WOLED,spd_images/monitors/lg-c5-42-oled_spd.jpg
47131,MSI MPG 271QRX QD-OLED,MSI,msi-mpg-271qrx-qd-oled,OLED,QD-OLED,high,,,NO_GT,445.9,21.4,528.9,30.2,635.3,36.8,9,B:446nm/21nm; G:529nm/30nm; R:635nm/37nm; R:fwhm_via_hwhm_left; panel_sub_type=QD-OLED,spd_images/monitors/msi-mpg-271qrx-qd-oled_spd.jpg
88032,MSI MPG 272URX QD-OLED,MSI,msi-mpg-272urx-qd-oled,OLED,QD-OLED,high,,,NO_GT,454.8,21.5,531.5,27.6,636.9,36.0,4,B:455nm/22nm; G:531nm/28nm; R:637nm/36nm; R:fwhm_via_hwhm_left; panel_sub_type=QD-OLED,spd_images/monitors/msi-mpg-272urx-qd-oled_spd.jpg
101013,MSI MPG 274URDFW E16M,MSI,msi-mpg-274urdfw-e16m,LCD,QD-LCD,high,,,NO_GT,443.7,15.2,527.0,25.2,619.1,23.4,9,B:444nm/15nm; G:527nm/25nm; R:619nm/23nm,spd_images/monitors/msi-mpg-274urdfw-e16m_spd.jpg
47132,MSI MPG 321URX QD-OLED,MSI,msi-mpg-321urx-qd-oled,OLED,QD-OLED,high,,,NO_GT,450.1,20.7,532.3,29.9,637.0,35.6,4,B:450nm/21nm; G:532nm/30nm; R:637nm/36nm; R:fwhm_via_hwhm_left; panel_sub_type=QD-OLED,spd_images/monitors/msi-mpg-321urx-qd-oled_spd.jpg
84697,MSI MPG 322URX QD-OLED,MSI,msi-mpg-322urx-qd-oled,OLED,QD-OLED,high,,,NO_GT,449.7,21.1,532.0,29.7,636.9,37.0,4,B:450nm/21nm; G:532nm/30nm; R:637nm/37nm; R:fwhm_via_hwhm_left; panel_sub_type=QD-OLED,spd_images/monitors/msi-mpg-322urx-qd-oled_spd.jpg
64783,MSI MPG 341CQPX QD-OLED,MSI,msi-mpg-341cqpx-qd-oled,OLED,QD-OLED,high,,,NO_GT,452.2,21.4,532.5,29.6,638.1,36.3,4,B:452nm/21nm; G:533nm/30nm; R:638nm/36nm; R:fwhm_via_hwhm_left; panel_sub_type=QD-OLED,spd_images/monitors/msi-mpg-341cqpx-qd-oled_spd.jpg
60445,Samsung Odyssey G50D S27DG50,Samsung,samsung-odyssey-g50d-s27dg50,LCD,KSF,high,,,NO_GT,448.8,15.6,538.8,50.6,632.3,9.6,6,B:449nm/16nm; G:539nm/51nm; R:632nm/10nm,spd_images/monitors/samsung-odyssey-g50d-s27dg50_spd.jpg
33691,Samsung Odyssey Neo G7 S32BG75,Samsung,samsung-odyssey-neo-g7-s32bg75,LCD,QD-LCD,high,,,NO_GT,444.4,14.5,540.2,35.0,630.1,37.7,4,B:444nm/14nm; G:540nm/35nm; R:630nm/38nm,spd_images/monitors/samsung-odyssey-neo-g7-s32bg75_spd.jpg
33710,Samsung Odyssey Neo G8 S32BG85,Samsung,samsung-odyssey-neo-g8-s32bg85,LCD,QD-LCD,high,,,NO_GT,443.1,14.7,539.1,34.3,630.1,36.7,4,B:443nm/15nm; G:539nm/34nm; R:630nm/37nm,spd_images/monitors/samsung-odyssey-neo-g8-s32bg85_spd.jpg
