product_id,fullname,brand,url_part,panel_type,spd_classification,spd_confidence,ground_truth_tech,ground_truth_qd_type,match_status,blue_peak_nm,blue_fwhm_nm,green_peak_nm,green_fwhm_nm,red_peak_nm,red_fwhm_nm,num_peaks,notes,spd_image_local
49703,Samsung S90D OLED,Samsung,samsung-s90d-oled,OLED,QD-OLED,high,,,NO_GT,452.3,21.3,532.0,28.1,638.1,37.3,3,B:452nm/21nm; G:532nm/28nm; R:638nm/37nm; panel_sub_type=QD-OLED,spd_images/samsung-s90d-oled_spd.jpg
92237,Samsung S90F OLED,Samsung,samsung-s90f-oled,OLED,QD-OLED,high,,,NO_GT,452.2,21.3,532.1,28.2,637.8,36.9,3,B:452nm/21nm; G:532nm/28nm; R:638nm/37nm; panel_sub_type=QD-OLED,spd_images/samsung-s90f-oled_spd.jpg
135751,Samsung S90H OLED,Samsung,samsung-s90h-oled,OLED,WOLED,high,,,NO_GT,454.5,22.9,549.0,69.1,620.3,49.0,3,B:455nm/23nm; G:549nm/69nm; R:620nm/49nm; R:fwhm_via_hwhm_right; panel_sub_type=WOLED,spd_images/samsung-s90h-oled_spd.jpg
49702,Samsung S95D OLED,Samsung,samsung-s95d-oled,OLED,QD-OLED,high,,,NO_GT,452.2,21.3,532.1,28.1,638.2,36.9,3,B:452nm/21nm; G:532nm/28nm; R:638nm/37nm; panel_sub_type=QD-OLED,spd_images/samsung-s95d-oled_spd.jpg
88596,Samsung S95F OLED,Samsung,samsung-s95f-oled,OLED,QD-OLED,high,,,NO_GT,456.1,20.9,532.6,27.3,638.3,37.4,3,B:456nm/21nm; G:533nm/27nm; R:638nm/37nm; panel_sub_type=QD-OLED,spd_images/samsung-s95f-oled_spd.jpg
56163,Samsung The Frame 2024,Samsung,samsung-the-frame-2024,LCD,Pseudo QD,medium,,,NO_GT,449.5,17.3,538.3,42.2,630.6,52.7,3,B:450nm/17nm; G:538nm/42nm; R:631nm/53nm,spd_images/samsung-the-frame-2024_spd.jpg
88497,Samsung The Frame Pro 2025,Samsung,samsung-the-frame-pro-2025,LCD,QD-LCD,high,,,NO_GT,448.0,16.7,540.3,34.9,630.0,38.4,3,B:448nm/17nm; G:540nm/35nm; R:630nm/38nm,spd_images/samsung-the-frame-pro-2025_spd.jpg
102195,Samsung U7900F,Samsung,samsung-u7900f,LCD,WLED,high,,,NO_GT,449.9,16.9,526.3,70.8,604.9,80.1,3,B:450nm/17nm; G:526nm/71nm; R:605nm/80nm; R:fwhm_via_hwhm_right,spd_images/samsung-u7900f_spd.jpg
94057,Samsung U8000F,Samsung,samsung-u8000f,LCD,WLED,high,,,NO_GT,446.1,15.8,529.7,70.2,604.1,77.4,3,B:446nm/16nm; G:530nm/70nm; R:604nm/77nm; R:fwhm_via_hwhm_right,spd_images/samsung-u8000f_spd.jpg
41473,Sharp AQUOS XLED FV1 ,Sharp,sharp-aquos-xled-fv1,LCD,QD-LCD,high,,,NO_GT,448.2,14.8,533.5,25.7,638.6,23.8,3,B:448nm/15nm; G:533nm/26nm; R:639nm/24nm,spd_images/sharp-aquos-xled-fv1_spd.jpg
