amazon_asin,keepa_title,keepa_brand,amazon_price,new_3p_price,buy_box_price,list_price,amazon_price_history_points,new_3p_price_history_points,list_price_history_points,new_3p_price_90d_min,new_3p_price_90d_avg,new_3p_price_90d_max,amazon_price_90d_min,amazon_price_90d_avg,amazon_price_90d_max,list_price_90d_min,list_price_90d_avg,list_price_90d_max
B0D5Y36ZKL,"Hisense 65-Inch Class QD7 Series QLED 4K UHD Google Smart TV (65QD7N) - QLED, Native 144Hz, Motion Rate 240, Direct Full Array, Game Mode Pro, Alexa Compatibility",Hisense,,673.99,,,133.0,203.0,379.0,673.99,673.99,673.99,,,,,,
B0D5Y5YCM1,"Hisense 75-Inch Class QD7 Series QLED 4K UHD Google Smart TV (75QD7N) - QLED, Native 144Hz, Motion Rate 240, Direct Full Array, Game Mode Pro, Alexa Compatibility",Hisense,,,,,191.0,234.0,345.0,699.0,699.0,699.0,,,,,,
B0D5Y5F1ZZ,"Hisense 85-Inch Class QD7 Series QLED 4K UHD Google Smart TV (85QD7N) - QLED, Native 144Hz, Motion Rate 240, Direct Full Array, Game Mode Pro, Alexa Compatibility",Hisense,,944.99,,,211.0,266.0,616.0,944.99,1024.99,1184.99,,,,,,
B0DD2185NL,"Hisense 100-Inch Class QD7 Series QLED 4K UHD Google Smart TV (100QD7N, 2024 Model) - QLED, Native 144Hz, Motion Rate 240, Direct Full Array, Game Mode Pro, Alexa Compatibility",Hisense,,2299.99,,,152.0,171.0,831.0,2299.99,2366.653333333333,2499.98,,,,,,
B0D8SDKSWT,"Panasonic W95 Series (2024 Model) 55-inch Mini LED 4K Ultra HD Smart Fire TV, Local Dimming, 144Hz Refresh Rate - 55W95AP",Panasonic,,,,,66.0,148.0,283.0,549.99,698.7850000000001,847.58,,,,,,
B0D8RYJYB8,"Panasonic W95 Series (2024 Model) 65-inch Mini LED 4K Ultra HD Smart Fire TV, Local Dimming, 144Hz Refresh Rate - 65W95AP",Panasonic,,,,,134.0,111.0,273.0,,,,,,,,,
B0D8S12Q54,"Panasonic W95 Series (2024 Model) 75-inch Mini LED 4K Ultra HD Smart Fire TV, Local Dimming, 144Hz Refresh Rate - 75W95AP",Panasonic,,,,,517.0,294.0,477.0,897.99,897.99,897.99,,,,897.99,897.99,897.99
B0D8S8SR5R,"Panasonic W95 Series (2024 Model) 85-inch Mini LED 4K Ultra HD Smart Fire TV, Local Dimming, 144Hz Refresh Rate - 85W95AP",Panasonic,,,,,128.0,132.0,225.0,1416.5,1429.3542857142857,1442.27,,,,1416.5,1422.915,1429.33
B0D8S669CY,"Panasonic Z85 Series (2024 Model) 65-inch OLED 4K Ultra HD Smart Fire TV, Dolby Vision IQ, HDR10+ Adaptive, 120Hz Refresh Rate - 65Z85AP",Panasonic,,,,,475.0,167.0,526.0,1147.99,1147.99,1147.99,,,,997.99,1047.99,1147.99
B0D8S2D1CZ,"Panasonic Z95 Series (2024 Model) 65-inch OLED 4K Ultra HD Smart Fire TV, Dolby Vision IQ, HDR10+ Adaptive, 144Hz Refresh Rate and Hands-Free Alexa - 65Z95AP",Panasonic,2638.32,2638.32,,,952.0,510.0,1249.0,1327.99,1928.739117647059,2647.12,2560.32,2596.6341666666667,2647.12,1328.09,1887.764285714286,2647.12
B0DCWTT39N,,,,,,,,,,,,,,,,,,
B0D2PMNRBW,"Hisense 85-Inch Class U9 Series Mini-LED ULED 4K UHD Google Smart TV (85U9N) - QLED, Native 144Hz, Full Array Local Dimming, Game Mode Pro, Alexa Compatibility, 480 Motion Rate",Hisense,,1599.99,,,311.0,325.0,663.0,1599.99,1599.99,1599.99,,,,,,
B0C7SRHGXF,"Amazon Ember 55"" Mini-LED Series with Fire TV (newest model), QLED 4K UHD smart TV, Dolby Vision IQ, 144hz gaming mode, Ambient Experience, find shows faster with Alexa+",Amazon,819.99,819.99,,819.99,55.0,243.0,382.0,559.99,715.99,819.99,559.99,715.99,819.99,819.99,819.9900000000001,819.99
B0C1TQYNWX,"Amazon Ember 65"" Mini-LED Series with Fire TV (newest model), QLED 4K UHD smart TV, Dolby Vision IQ, 144hz gaming mode, Ambient Experience, find shows faster with Alexa+",Amazon,1089.99,1089.99,,1089.99,39.0,200.0,327.0,919.99,1023.99,1089.99,919.99,1023.99,1089.99,919.99,924.99,929.99
B0C7SH9FN2,"Amazon Ember 75"" Mini-LED Series with Fire TV (newest model), QLED 4K UHD smart TV, Dolby Vision IQ, 144hz gaming mode, Ambient Experience, find shows faster with Alexa+",Amazon,1499.99,1499.99,,1499.99,46.0,199.0,319.0,1249.99,1399.99,1499.99,1249.99,1399.99,1499.99,1499.99,1499.99,1499.99
B0C7S8Z4C1,"Amazon Ember 85"" Mini-LED Series with Fire TV (newest model), QLED 4K UHD smart TV, Dolby Vision IQ, 144hz gaming mode, Ambient Experience, find shows faster with Alexa+",Amazon,2099.99,2099.99,,2099.99,30.0,30.0,63.0,1769.99,1973.9899999999998,2099.99,1769.99,1973.9899999999998,2099.99,1769.99,1784.99,1799.99
B0F2JLGW8H,,,,,,,,,,,,,,,,,,
B0F2JLYVDD,,,,,,,1.0,1.0,,,,,,,,,,
B0DWHFN3WK,,,,,,,1.0,1.0,,,,,,,,,,
B0DXMXWHPX,"Samsung 50-Inch Class QLED Q7F Series Samsung Vision AI Smart TV (2025 Model, 50Q7F) Quantum HDR, Object Tracking Sound Lite, Q4 AI Gen1 Processor, 4K upscaling, Gaming Hub, Alexa Built-in",Samsung,357.99,347.99,,357.99,43.0,118.0,643.0,318.95,337.3864705882353,356.94,318.95,336.14333333333326,357.99,318.95,336.0527536231885,359.99
B0DWHVTWBW,,,,,,,1.0,1.0,,,,,,,,,,
B0DWHFYJ13,,,,,,,1.0,1.0,,,,,,,,,,
B0F2JL4TLZ,,,,,,,1.0,1.0,,,,,,,,,,
B0F7J16S9S,,,,,,,1.0,1.0,,,,,,,,,,
B0F8DSV3RT,,,,,,,1.0,1.0,,,,,,,,,,
B0F8F112P6,,,,,,,,,,,,,,,,,,
B0F8DWB273,,,,,,,,,,,,,,,,,,
B0F8DW8D69,,,,,,,1.0,1.0,,,,,,,,,,
B0DXMWC2RL,"Samsung 43-Inch Class Neo QLED 4K QN90F Series, Vision AI, Mini LED Smart TV (2025 Model, 43QN90F) Neo Quantum HDR+, Object Tracking Sound Lite w/Dolby Atmos, Glare Free, Gaming Hub, Alexa Built-in",Samsung,,,,,1157.0,2203.0,3528.0,717.99,856.0662264150941,997.99,797.99,869.7042857142857,997.99,720.09,806.1306249999999,977.99
