amazon_asin,keepa_title,keepa_brand,amazon_price,new_3p_price,buy_box_price,list_price,amazon_price_90d_min,amazon_price_90d_avg,amazon_price_90d_max,amazon_price_history_points,new_3p_price_90d_min,new_3p_price_90d_avg,new_3p_price_90d_max,new_3p_price_history_points,list_price_90d_min,list_price_90d_avg,list_price_90d_max,list_price_history_points
B0F1GD9YFN,"Dell 32 Plus 4K Monitor - S3225QS - 31.5-inch 4K (3840 x 2160) up to 120Hz 16:9 Display, VA Panel, AMD FreeSync Premium, 99% sRGB, 95% DCI-P3, 1500:1 Contrast Ratio, Comfortview - Ash White",Dell,329.99,320.0,,320.0,320.0,329.477,369.0,171.0,316.99,329.3816666666667,369.0,179.0,260.16,321.7963636363637,349.99,1689.0
B0F6724X5N,"Alienware 34 240Hz QD-OLED Curved Gaming Monitor - AW3425DW - 34.2-inch WQHD (3440 x 1440) 0.03ms Display, 1800R Curve, AMD FreeSync Premium Pro, VESA AdaptiveSync, DisplayHDR TrueBlack 400",Alienware,799.99,799.99,,799.99,649.99,763.4017647058823,799.99,60.0,649.99,762.5899999999999,799.99,71.0,729.99,766.8249999999999,799.99,157.0
B0C1SDSYV6,"Alienware 27 4K Dual-Resolution Gaming Monitor - AW2725QF - 4K at 180Hz and FHD at 360Hz, 0.5ms GTG 1ms GTG (Extreme Mode), VESA AdaptiveSync, NVIDIA G-SYNC Compatible, HDMI/DP/USB 3.2 Gen1 - Black",Alienware,399.99,399.99,,399.99,399.99,461.0971428571429,499.99,155.0,399.99,415.945,431.9,146.0,373.93,414.13,439.72,925.0
B0DWYC5S8X,"msi MPG 272URX QD-OLED 27 Inch 4K UHD Gaming Monitor - 3840 x 2160 QD-OLED Panel, EL Gen3, 240Hz / 0.03ms, 99% DCI-P3, DisplayHDR True Black 400, KVM, DP 2.1a, HDMI 2.1, USB Type-C 98W",msi,899.99,899.99,,899.99,899.99,899.99,899.99,76.0,899.99,899.99,899.99,103.0,899.99,899.99,899.99,433.0
B0F1GFD44G,"Dell 27 Plus 4K USB-C Monitor - S2725QC - 27-inch 4K (3840 x 2160) 120Hz 16:9 Display, AMD FreeSync Premium, sRGB 99%, Integrated Speakers, 1500:1 Contrast Ratio, Comfortview - Ash White",Dell,299.99,299.99,,299.99,279.99,319.6556862745098,349.99,203.0,279.99,314.00586206896554,349.99,170.0,279.99,315.1232075471697,349.99,1239.0
B0F1GF1KFC,"Dell 27 Plus 4K Monitor - S2725QS - 27-inch 4K (3840 x 2160) 120Hz 16:9 Display, IPS Panel, AMD FreeSync Premium, sRGB 99%, Integrated Speakers, 1500:1 Contrast Ratio, Comfortview - Ash White",Dell,279.99,279.99,,279.99,279.0,279.495,279.99,219.0,259.99,272.77,279.99,146.0,259.99,276.5995454545455,279.99,1422.0
B0DVJ3WG52,"LG 24GS65F-B 24-inch Ultragear Full HD (1920 x 1080) IPS Gaming Monitor, 180Hz, 1ms, NVIDIA G-Sync Compatible, AMD FreeSync, HDR10, HDMI, DisplayPort, Tilt/Height/Pivot Adjustable Stand, Black",LG,,206.34,,206.34,,,,44.0,189.99,195.8597297297297,206.34,105.0,189.99,193.64120967741934,281.06,444.0
B0DYQMWSKG,"LG 42-Inch Class OLED evo AI Super Upscaling 4K C5 Series Smart TV w/Dolby Atmos & Vision, HDR10, Filmmaker Mode, Wow Orchestra, Alexa Built-in (OLED42C5PUA, 2025)",LG,899.0,890.99,,899.0,799.0,901.4295652173913,999.99,88.0,739.98,878.9196946564886,990.0,750.0,743.06,889.7708510638297,999.99,1368.0
B0F732KMQQ,"ASUS ROG Strix 32” 4K OLED Gaming Monitor (XG32UCWMG) - TrueBlack Glossy, Dual Mode(4K@240Hz, FHD@480Hz), 0.03ms, G-SYNC Compatible, Neo Proximity Sensor, USB-C, HDMI 2.1, 3 yr Warranty",ASUS,996.25,996.25,,996.25,899.0,998.9634615384615,1099.0,38.0,899.0,1065.923076923077,1749.51,35.0,899.0,995.3214285714284,1099.0,108.0
B0FB46P6F6,"Dell 32 Plus 4K QD-OLED Monitor S3225QC - 31.6-inch (3840 x 2160) 120Hz 0.03ms Display, AI-Enhanced 3D Spatial Audio, Height/Tilt/Swivel/Slant Adjustment - Ash White",Dell,599.99,480.99,,540.98,486.99,526.2992307692307,669.0,119.0,455.0,515.6168421052632,619.99,142.0,455.0,502.20864864864876,619.99,730.0
